9.414062500000000000e-01 2.025089114904403687e-01 9.745593070983886719e-01 8.090709149837493896e-02 1.140708351135253906e+01
9.570312500000000000e-01 1.809258908033370972e-01 9.813702106475830078e-01 5.878934636712074280e-02 2.072000932693481445e+01
9.687500000000000000e-01 1.159012094140052795e-01 9.841746687889099121e-01 5.190622434020042419e-02 1.049432015419006348e+01
9.609375000000000000e-01 1.207331866025924683e-01 9.864786267280578613e-01 4.390822350978851318e-02 1.048371529579162598e+01
9.746093750000000000e-01 7.227477431297302246e-02 9.849760532379150391e-01 4.816410690546035767e-02 6.844768285751342773e+00
9.707031250000000000e-01 9.519414603710174561e-02 9.870793819427490234e-01 3.864052519202232361e-02 1.686126804351806641e+01
9.726562500000000000e-01 9.983184188604354858e-02 9.848759174346923828e-01 4.753364250063896179e-02 6.903904199600219727e+00
9.667968750000000000e-01 1.097801253199577332e-01 9.864784479141235352e-01 4.374736174941062927e-02 1.051302695274353027e+01
9.746093750000000000e-01 6.416141986846923828e-02 9.877806305885314941e-01 4.382255300879478455e-02 6.796544790267944336e+00
9.707031250000000000e-01 1.066900119185447693e-01 9.859776496887207031e-01 4.570895805954933167e-02 1.047262811660766602e+01
9.785156250000000000e-01 4.631114378571510315e-02 9.869791865348815918e-01 4.527327418327331543e-02 6.945988178253173828e+00
9.687500000000000000e-01 8.625847101211547852e-02 9.859776496887207031e-01 5.149219557642936707e-02 7.017688989639282227e+00
9.824218750000000000e-01 5.325241386890411377e-02 9.856773018836975098e-01 5.270910263061523438e-02 1.051217198371887207e+01
9.687500000000000000e-01 1.270800977945327759e-01 9.881809949874877930e-01 3.896951675415039062e-02 7.218544721603393555e+00
9.765625000000000000e-01 4.570063948631286621e-02 9.859775900840759277e-01 5.180907994508743286e-02 7.286433458328247070e+00
9.707031250000000000e-01 8.551838994026184082e-02 9.868791103363037109e-01 4.462090134620666504e-02 7.415824413299560547e+00
